,areaCd,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
24,0105003,5,5,1,OLD,20218541,밀수,2023-07-26,1612100,6.7,-3210657,-66.6,1160241350,160,-335,-67.7,127711,13,31
25,0105003,6,6,-1,OLD,20228930,엘리멘탈,2023-06-14,740700,3.1,-5881656,-88.8,1563539602,93,-563,-85.8,166503,11,14
26,0105003,7,7,0,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,460500,1.9,-1232000,-72.8,11466600,71,-150,-67.9,1592,6,8
27,0105003,8,8,1,OLD,20223831,스파이 코드명 포춘,2023-08-30,404000,1.7,-1192000,-74.7,6817595,46,-107,-69.9,754,12,18
28,0105003,9,9,-1,OLD,20233075,신체모음.zip,2023-08-30,332500,1.4,-1707000,-83.7,6023100,33,-161,-83,614,3,5
29,0105003,10,10,4,OLD,20233000,킬러의 레스토랑,2023-08-17,168000,0.7,48000,40,2226000,28,8,40,371,5,5
30,0105004,1,1,1,OLD,20233014,타겟,2023-08-30,6381956,24.6,-14180373,-69,78000520,658,-1345,-67.1,8019,35,107
31,0105004,2,2,-1,OLD,20226500,달짝지근해: 7510,2023-08-15,4960895,19.1,-15542752,-75.8,377935449,514,-1533,-74.9,38520,29,91
32,0105004,3,3,1,OLD,20204264,콘크리트 유토피아,2023-08-09,4498450,17.3,-10444190,-69.9,980712757,485,-1023,-67.8,100412,29,85
33,0105004,4,4,-1,OLD,20226431,오펜하이머,2023-08-15,4531156,17.4,-14009045,-75.6,615939211,460,-1308,-74,59165,28,82
34,0105004,5,5,1,OLD,20218541,밀수,2023-07-26,2439200,9.4,-4416306,-64.4,1421148615,256,-398,-60.9,146364,17,35
35,0105004,6,6,-1,OLD,20228930,엘리멘탈,2023-06-14,1017400,3.9,-7286384,-87.7,1787824433,108,-771,-87.7,184149,12,14
36,0105004,7,7,0,OLD,20233075,신체모음.zip,2023-08-30,1035000,4.0,-3220200,-75.7,12373500,96,-310,-76.4,1215,8,20
37,0105004,8,8,1,OLD,20223831,스파이 코드명 포춘,2023-08-30,511000,2.0,-989900,-66,8943899,52,-81,-60.9,930,11,21
